MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
VERA CRUZ,6549,1953,2020,1
VEREDA,1237,700,2020,1
VITORIA DA CONQUISTA,148395,41564,2020,1
WAGNER,1159,352,2020,1
WANDERLEY,2394,1134,2020,1
WENCESLAU GUIMARAES,3869,1994,2020,1
XIQUE-XIQUE,9227,4981,2020,1
ABAIARA,2663,1667,2020,1
ACARAPE,2887,1253,2020,1
ACARAU,16931,9044,2020,1
ACOPIARA,16671,10388,2020,1
AIUABA,3102,2245,2020,1
ALCANTARAS,4145,2492,2020,1
ALTANEIRA,1772,1089,2020,1
ALTO SANTO,4567,2708,2020,1
AMONTADA,9108,5564,2020,1
ANTONINA DO NORTE,2424,1534,2020,1
APUIARES,4178,2713,2020,1
AQUIRAZ,23721,9422,2020,1
ARACATI,24420,9555,2020,1
ARACOIABA,6450,3873,2020,1
ARARENDA,3402,2290,2020,1
ARARIPE,6329,3960,2020,1
ARATUBA,3219,2257,2020,1
ARNEIROZ,1921,1322,2020,1
ASSARE,6169,3989,2020,1
AURORA,6022,3898,2020,1
BAIXIO,1585,770,2020,1
BANABUIU,4176,2391,2020,1
BARBALHA,21699,10604,2020,1
BARREIRA,7026,3541,2020,1
BARRO,5238,2592,2020,1
BARROQUINHA,3175,1943,2020,1
BATURITE,10896,6383,2020,1
BEBERIBE,13274,4926,2020,1
BELA CRUZ,8388,5025,2020,1
BOA VIAGEM,20444,13556,2020,1
BREJO SANTO,21102,10424,2020,1
CAMOCIM,19522,10617,2020,1
CAMPOS SALES,11655,7437,2020,1
CANINDE,28063,16526,2020,1
CAPISTRANO,4212,2547,2020,1
CARIDADE,4735,3054,2020,1
CARIRE,5260,3485,2020,1
CARIRIACU,8152,5078,2020,1
CARIUS,4580,2813,2020,1
CARNAUBAL,4705,2139,2020,1
CASCAVEL,21847,8424,2020,1
CATARINA,3699,2580,2020,1
CATUNDA,2311,1407,2020,1
CAUCAIA,98984,38991,2020,1
CEDRO,8818,5600,2020,1
CHAVAL,2608,1611,2020,1
CHORO,2942,2054,2020,1
CHOROZINHO,6231,2280,2020,1
COREAU,5762,3253,2020,1
CRATEUS,33180,18244,2020,1
CRATO,54322,24469,2020,1
CROATA,5412,3028,2020,1
CRUZ,10570,5147,2020,1
DEPUTADO IRAPUAN PINHEIRO,2979,2215,2020,1
ERERE,1183,839,2020,1
EUSEBIO,26982,6819,2020,1
FARIAS BRITO,4599,2891,2020,1
FORQUILHA,7538,4394,2020,1
FORTALEZA,1138183,311962,2020,1
FORTIM,3941,1438,2020,1
FRECHEIRINHA,5959,3383,2020,1
GENERAL SAMPAIO,1709,1135,2020,1
GRACA,4293,2943,2020,1
GRANJA,10801,6494,2020,1
GRANJEIRO,580,290,2020,1
GROAIRAS,5202,3431,2020,1
GUAIUBA,4445,2389,2020,1
GUARACIABA DO NORTE,16748,7852,2020,1
GUARAMIRANGA,1894,1139,2020,1
HIDROLANDIA,5852,3395,2020,1
HORIZONTE,23362,10105,2020,1
IBARETAMA,3034,1837,2020,1
IBIAPINA,7726,3834,2020,1
IBICUITINGA,3456,2215,2020,1
ICAPUI,6888,4325,2020,1
ICO,24823,15063,2020,1
IGUATU,52277,27470,2020,1
INDEPENDENCIA,10562,6511,2020,1
IPAPORANGA,3910,2779,2020,1
