MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
MIRANTE,1411,452,2023,1
MONTE SANTO,9503,2979,2023,1
MORPARA,850,261,2023,1
MORRO DO CHAPEU,7352,1719,2023,1
MORTUGABA,3202,967,2023,1
MUCUGE,3888,1115,2023,1
MUCURI,9880,2197,2023,1
MULUNGU DO MORRO,2209,656,2023,1
MUNDO NOVO,3563,1145,2023,1
MUNIZ FERREIRA,1904,743,2023,1
MUQUEM DO SAO FRANCISCO,1371,413,2023,1
MURITIBA,8082,3353,2023,1
MUTUIPE,9685,4492,2023,1
NAZARE,8582,3692,2023,1
NILO PECANHA,2212,1046,2023,1
NORDESTINA,2285,661,2023,1
NOVA CANAA,2069,666,2023,1
NOVA FATIMA,2488,930,2023,1
NOVA IBIA,1084,494,2023,1
NOVA ITARANA,1150,343,2023,1
NOVA REDENCAO,1267,602,2023,1
NOVA SOURE,5217,2323,2023,1
NOVA VICOSA,9669,2624,2023,1
NOVO HORIZONTE,4168,1996,2023,1
NOVO TRIUNFO,1712,1075,2023,1
OLINDINA,5551,2315,2023,1
OLIVEIRA DOS BREJINHOS,5413,2032,2023,1
OURICANGAS,895,319,2023,1
OUROLANDIA,4168,1557,2023,1
PALMAS DE MONTE ALTO,4894,1988,2023,1
PALMEIRAS,2890,905,2023,1
PARAMIRIM,8019,2895,2023,1
PARATINGA,4717,2037,2023,1
PARIPIRANGA,8308,5790,2023,1
PAU BRASIL,2107,1069,2023,1
PAULO AFONSO,61570,20954,2023,1
PE DE SERRA,3284,1421,2023,1
PEDRAO,814,353,2023,1
PEDRO ALEXANDRE,1307,932,2023,1
PIATA,5463,1482,2023,1
PILAO ARCADO,2703,975,2023,1
PINDAI,3609,1368,2023,1
PINDOBACU,4432,2260,2023,1
PINTADAS,2784,1302,2023,1
PIRAI DO NORTE,2700,1656,2023,1
PIRIPA,2433,833,2023,1
PIRITIBA,4154,1436,2023,1
PLANALTINO,1672,476,2023,1
PLANALTO,5096,1453,2023,1
POCOES,15753,5241,2023,1
POJUCA,12538,3103,2023,1
PONTO NOVO,4097,1678,2023,1
PORTO SEGURO,60393,21770,2023,1
POTIRAGUA,1668,740,2023,1
PRADO,6444,2534,2023,1
PRESIDENTE DUTRA,4300,1860,2023,1
PRESIDENTE JANIO QUADROS,1808,594,2023,1
PRESIDENTE TANCREDO NEVES,8070,3417,2023,1
QUEIMADAS,5726,2142,2023,1
QUIJINGUE,3501,1341,2023,1
QUIXABEIRA,2548,1209,2023,1
RAFAEL JAMBEIRO,3870,1604,2023,1
REMANSO,10007,4685,2023,1
RETIROLANDIA,4700,1806,2023,1
RIACHAO DAS NEVES,3694,1347,2023,1
RIACHAO DO JACUIPE,11969,4903,2023,1
RIACHO DE SANTANA,7903,3074,2023,1
RIBEIRA DO AMPARO,2543,1368,2023,1
RIBEIRA DO POMBAL,20452,8210,2023,1
RIBEIRAO DO LARGO,973,406,2023,1
RIO DE CONTAS,4321,1967,2023,1
